satir,durum,skor,eski_sure,eski_ayet_no,yeni_sure,yeni_ayet_no,dipnot_no,dipnot_ref,csv_tarih,hutbe,metin_kaynagi,esleme,alinti
38,dogru,1.0,Bakara,286,Bakara,286,7,"Bakara, 2/286.",10.04.2020,"10.04.2020 İNSAN, SORUMLULUK SAHİBİDİR",metinler,baslik_eslesti,"Ey Rabbimiz! Unutur, ya da yanılırsak bizi sorumlu tutma! Ey Rabbimiz! Bize, bizden öncekilere yüklediğin gibi ağır yük yükleme. Ey Rabbimiz! Bize gücümüzün yetmediği şeyleri yükleme!"
39,dogru,1.0,Bakara,286,Bakara,286,4,"Bakara, 2/286.",02.02.2024,"02.02.2024 RABBİMİZ, MÜMİNLERİ YALNIZ VE YARDIMSIZ ",metinler,baslik_eslesti,"Ey Rabbimiz! Unutur, ya da yanılırsak bizi sorumlu tutma! Ey Rabbimiz! Bizden öncekilere yüklediğin gibi bize ağır yük yükleme. Ey Rabbimiz! Bize gücümüzün yetmediği şeyleri yükleme! Bizi affet, bizi bağışla ve bize rahmet et! Sen bizim Mevlâmızsın, kâfirler topluluğuna karşı bize yardım et!"
40,dogru,1.0,Bakara,286,Bakara,286,9,"Bakara, 2/286.",03.05.2024,03.05.2024 DUA: RABBİMİZE SIĞINMANIN SÖZLÜ İFADESİ,metinler,baslik_eslesti,Rabbimiz! Bizi bağışla! Bize merhamet et! Rahmetinle muamele eyle! Sen bizim sahibimiz ve yardımcımızsın; kâfirlere karşı bize yardım et!
41,dogru,1.0,Bakara,183,Bakara,183,3,"Bakara, 2/183.",20.07.2012,20.07.2012 “BEN ORUÇLUYUM” DİYEBİLMEK,metinler,baslik_eslesti,"Ey iman edenler! Kötülüklerden sakınmanız için oruç, sizden öncekilere farz kılındığı gibi, size de farz kılındı."
42,dogru,1.0,Bakara,183,Bakara,183,1,"Bakara, 2/183.",05.07.2013,05.07.2013 RAMAZAN VE ORUÇ,metinler,baslik_eslesti,"Ey iman edenler! Allah'a karşı gelmekten sakınmanız için oruç, sizden öncekilere farz kılındığı gibi, size de farz kılındı."
43,dogru,1.0,Bakara,183,Bakara,183,4,"Bakara, 2/183.",25.05.2018,25.05.2018 ORUÇ VE KUR’ÂN AYI RAMAZAN,metinler,baslik_eslesti,"Ey iman edenler! Kötülüklerden sakınmanız için oruç, sizden öncekilere farz kılındığı gibi, size de farz kılındı."
44,tur_hatasi,1.0,Bakara,183,Ahmed b. Hanbel,,3,"İbn Hanbel, II, 400.",17.04.2020,17.04.2020 AİLE: HUZUR VE GÜVEN KAYNAĞI,metinler,baslik_eslesti,Mümin cana yakındır. İnsanlarla yakınlık kurmayan ve kendisiyle yakınlık kurulamayan kimsede hayır yoktur.
45,dogru,1.0,Bakara,183,Bakara,183,3,"Bakara, 2/183.",17.04.2020,24.04.2020 RAMAZAN: SABIR VE İRADE EĞİTİMİ,metinler,baslik_eslesti+tarih_duzeltildi,Ey iman edenler! Sizden öncekilere farz kılındığı gibi size de oruç farz kılındı. Umulur ki takva sahibi olursunuz.
46,dogru,1.0,Bakara,195,Bakara,195,3,"Bakara, 2/195.",08.05.2020,"08.05.2020 RAMAZAN: İNFAK, YARDIMLAŞMA VE PAYLAŞMA ",metinler,baslik_eslesti,"Allah yolunda infak edin. Kendi ellerinizle kendinizi tehlikeye atmayın. İyilik edin, kuşkusuz Allah iyilik edenleri sever."
47,dogru,1.0,Bakara,195,Bakara,195,1,"Bakara, 2/195.",04.06.2021,04.06.2021 İSLAM ZARARLI ALIŞKANLIKLARI YASAKLAR,metinler,baslik_eslesti,Kendi ellerinizle kendinizi tehlikeye atmayın.
48,dogru,1.0,Bakara,195,Bakara,195,2,"Bakara, 2/195.",30.07.2021,30.07.2021 AFETLERE KARŞI SORUMLULUĞUMUZUN İDRAKİND,metinler,baslik_eslesti,Kendi kendinizi tehlikeye atmayın.
49,dogru,1.0,Bakara,195,Bakara,195,1,"Bakara, 2/195.",20.08.2021,20.08.2021 MÜSLÜMAN İŞİNİ SAĞLAM VE GÜZEL YAPAR,metinler,baslik_eslesti,Yaptığınız işi güzel yapın; Allah işini güzel yapanları sever.
50,dogru,1.0,Bakara,195,Bakara,195,3,"Bakara, 2/195.",01.03.2024,01.03.2024 ZARARLI ALIŞKANLIKLARIN ESİRİ OLMAYALIM,metinler,baslik_eslesti,Kendi ellerinizle kendinizi tehlikeye atmayın.
51,dogru,1.0,Nahl,97,Nahl,97,1,"Nahl, 16/97.",08.08.2014,"08.08.2014 SADIK İMAN, SAMİMİ NİYET, SALİH AMEL",metinler,baslik_eslesti,"Erkek veya kadın, kim mü'min olarak salih amel işlerse, elbette ona çok güzel bir hayat yaşatacağız ve onların mükafatlarını yapmakta olduklarının en güzeli ile vereceğiz."
52,dogru,1.0,Nahl,97,Nahl,97,4,"Nahl, 16/97.",27.07.2018,27.07.2018 İMAN-AMEL İLİŞKİSİ,metinler,baslik_eslesti,"Erkek ya da kadın, kim mümin olarak salih amel işlerse, elbette ona hoş bir hayat yaşatacağız ve onların mükafatlarını yapmakta olduklarının en güzeliyle vereceğiz."
53,dogru,1.0,Nahl,97,Nahl,97,2,"Nahl, 16/97.",12.04.2019,12.04.2019 İMANIN HAYATIMIZDAKİ YANSIMALARI,metinler,baslik_eslesti,"Erkek ya da kadın, kim mümin olarak salih amel işlerse, elbette ona hoş bir hayat yaşatacağız ve onların mükâfatlarını yaptıklarına karşılık olarak en güzeliyle vereceğiz."
