satir,durum,skor,eski_kaynak,eski_bolum,yeni_kaynak,yeni_bolum,dipnot_no,dipnot_ref,csv_tarih,hutbe,metin_kaynagi,esleme,alinti
139,dogru,1.0,Ebû Dâvûd,Edeb,Ebû Dâvûd,Edeb,2,"Ebû Dâvûd, Edeb, 58.",11.06.2021,11.06.2021 AİLEMDE MERHAMET VE HUZUR VAR,metinler,baslik_eslesti,"Merhamet edene Rahmân da merhamet eder. Siz yerdekilere merhamet edin ki, göktekiler de size merhamet etsin."
140,dogru,1.0,Ebû Dâvûd,Edeb,Ebû Dâvûd,Edeb,4,"Ebû Dâvûd, Edeb, 80.",04.02.2022,04.02.2022 SÖZ VE DAVRANIŞLARIMIZDA DOĞRU OLALIM,metinler,baslik_eslesti,Her duyduğunu söylemesi kişiye yalan olarak yeter!
141,dogru,1.0,Ebû Dâvûd,Edeb,Ebû Dâvûd,Edeb,5,"Ebû Dâvûd, Edeb, 60.",17.02.2023,17.02.2023 MİRAÇ GECEMİZ: İLÂHÎ RAHMET VE SEKÎNET V,metinler,baslik_eslesti,"Bir kul, kardeşine yardım ettiği sürece, Allah da o kula yardım eder."
142,dogru,1.0,Ebû Dâvûd,Edeb,Ebû Dâvûd,Edeb,3,"Ebû Dâvûd, Edeb, 78.",24.01.2025,"24.01.2025 MİRACIN HEDİYESİ, DİNİMİZİN DİREĞİ NAMAZ",metinler,baslik_eslesti,Kalk ya Bilâl! Bizi namaza çağır! Namazla bizi ferahlat!
143,dogru,1.0,Ebû Dâvûd,Edeb,Ebû Dâvûd,Edeb,4,"Ebû Dâvûd, Edeb, 60.",28.11.2025,28.11.2025 FEDAKÂRLIĞIN ZİRVESİ: ÎSÂR,metinler,baslik_eslesti,"Kul, kardeşinin yardımında olduğu sürece, Allah da onun yardımcısı olur."
144,dogru,1.0,Ebû Dâvûd,Edeb,Ebû Dâvûd,Edeb,2,"Ebû Dâvûd, Edeb, 5.",12.12.2025,12.12.2025 İNSAN: KÂİNATIN GÖZBEBEĞİ,metinler,baslik_eslesti,Mümin aziz ve cömerttir. Fâcir ise saygısız ve cimridir.
145,eksik_tamamlandi,1.0,Müslim,-,Müslim,Îmân,2,"Müslim, Îmân, 78.",08.09.2017,08.09.2017 MAZLUMUN YANINDA YER ALMAK,metinler,baslik_eslesti,"Bir kötülüğe şahit olan, gücü yettiği takdirde onu eli ile düzeltsin. Buna gücü yetmez ise dili ile düzeltsin. Buna da gücü yetmezse kalbi ile o kötülüğe karşı tavır koysun. Kaldı ki bu durum da imanın asgarî gereğidir."
146,eksik_tamamlandi,1.0,Müslim,-,Müslim,Îmân,9,"Müslim, Îmân, 164.",10.11.2017,10.11.2017 ÖRNEK İNSAN: MÜMİN,metinler,baslik_eslesti,Aldatan bizden değildir.
147,eksik_tamamlandi,1.0,Müslim,-,Müslim,Îmân,11,"Müslim, Îmân, 147.",10.11.2017,10.11.2017 ÖRNEK İNSAN: MÜMİN,metinler,baslik_eslesti,Kalbinde zerre miktarı kibir bulunan kişi cennete giremez.
148,tur_hatasi,1.0,Müslim,-,Hud,114,4,"Hûd, 11/114.",06.04.2018,06.04.2018 İYİLİK: PAYLAŞILDIKÇA ARTAN DEĞER,metinler,baslik_eslesti,İyilikler kötülükleri yok eder.
149,eksik_tamamlandi,1.0,Müslim,-,Müslim,Îmân,4,"Müslim, Îmân, 65.",26.10.2018,26.10.2018 AİLEDE ŞEFKAT VE NEZAKET DİLİ,metinler,baslik_eslesti,elinden ve dilinden emin olunan kimse
150,eksik_tamamlandi,1.0,Müslim,-,Müslim,Îmân,4,"Müslim, Îmân, 78.",08.03.2019,08.03.2019 İYİLİK PAYLAŞTIKÇA ÇOĞALIR,metinler,baslik_eslesti,İçinizden biri bir kötülük görürse onu eliyle düzeltsin. Buna gücü yetmiyorsa diliyle düzeltsin. Buna da gücü yetmiyorsa kalbiyle buğzetsin. Bu ise imanın asgarî gereğidir.
151,eksik_tamamlandi,1.0,Müslim,-,Müslim,Îmân,5,"Müslim, Îmân, 73.",05.04.2019,05.04.2019 MÜSLÜMAN HAYIRLI BİR KOMŞUDUR,metinler,baslik_eslesti,"Komşusunun, şerrinden emin olmadığı kimse cennete giremez"
152,eksik_tamamlandi,1.0,Müslim,-,Müslim,Îmân,4,"Müslim, Îmân, 164.",12.07.2019,"12.07.2019 15 TEMMUZ’U ANMAK, İHANETİ ANLAMAK",metinler,baslik_eslesti,Bizi aldatan bizden değildir.
153,eksik_tamamlandi,1.0,Müslim,-,Müslim,Îmân,7,"Müslim, Îmân, 147.",20.09.2019,20.09.2019 TEVAZU İNSANI YÜCELTİR,metinler,baslik_eslesti,Hakikati inkâr etmek ve insanları küçük görmektir.
154,eksik_tamamlandi,1.0,Müslim,-,Müslim,Îmân,6,"Müslim, Îmân, 147; Tirmizî, Edeb, 41.",06.03.2020,"06.03.2020 ALLAH TEMİZDİR, TEMİZLİĞİ SEVER",metinler,baslik_eslesti,"Allah güzeldir, güzel olanı sever; temizdir, temizliği sever; kerem sahibidir; cömertliği sever."
155,eksik_tamamlandi,1.0,Müslim,-,Müslim,Îmân,4,"Müslim, Îmân, 78.",21.05.2021,21.05.2021 ZULÜM CEZASIZ KALMAZ,metinler,baslik_eslesti,Kim bir kötülük görürse onu eliyle düzeltsin; eğer buna gücü yetmiyorsa diliyle düzeltsin; buna da gücü yetmezse kalbi ile o kötülüğe tavır koysun. Bu da imanın asgarî gereğidir.
156,eksik_tamamlandi,1.0,Müslim,-,Müslim,Îmân,1,"Müslim, Îmân, 164.",14.10.2022,14.10.2022 KUL VE KAMU HAKKI,metinler,baslik_eslesti,"Bizi aldatan, bizden değildir!"
157,eksik_tamamlandi,1.0,Müslim,-,Müslim,Îmân,2,"Müslim, Îmân, 73.",21.10.2022,21.10.2022 KOMŞULUK HUKUKU,metinler,baslik_eslesti,Komşusu şerrinden emin olmayan kimse cennete giremez.
158,eksik_tamamlandi,1.0,Müslim,-,Müslim,Îmân,3,"Müslim, Îmân, 164.",28.04.2023,28.04.2023 İŞ AHLAKI: TOPLUMSAL HUZURUN KAYNAĞI,metinler,baslik_eslesti,"Bizi aldatan, bizden değildir"
159,eksik_tamamlandi,1.0,Müslim,-,Müslim,Îmân,3,"Müslim, Îmân, 95.",14.07.2023,"14.07.2023 DİN SAMİMİYETTİR, İSTİSMAR İHANETTİR",metinler,baslik_eslesti,"Din, samimiyettir."
160,eksik_tamamlandi,1.0,Müslim,-,Müslim,Îmân,3,"Müslim, Îmân, 164.",15.09.2023,15.09.2023 AHÎLİK: DÜRÜSTLÜK VE MERHAMETİ TİCARETE ,metinler,baslik_eslesti,Bizi aldatan bizden değildir.
161,eksik_tamamlandi,1.0,Müslim,-,Müslim,Îmân,2,"Müslim, Îmân, 29.",13.10.2023,13.10.2023 ZULÜMLE ÂBÂD OLUNMAZ,metinler,baslik_eslesti,Mazlumun bedduasından sakın. Çünkü onunla Allah arasında perde yoktur.
162,eksik_tamamlandi,1.0,Müslim,-,Müslim,Îmân,3,"Müslim, Îmân, 78.",03.11.2023,03.11.2023 ZULME RIZA GÖSTERMEK ZULÜMDÜR,metinler,baslik_eslesti,Kim bir kötülük ve haksızlık görürse onu eliyle düzeltsin; eğer buna gücü yetmiyorsa diliyle düzeltsin; buna da gücü yetmezse kalbiyle buğzetsin...
163,eksik_tamamlandi,1.0,Müslim,-,Müslim,Îmân,2,"Müslim, Îmân, 57.",01.08.2025,"01.08.2025 HAYÂ: ALLAH’IN EMRİ, FITRATIN GEREĞİ",metinler,baslik_eslesti,"…Hayâ, imandan bir parçadır."
164,eksik_tamamlandi,1.0,Müslim,-,Müslim,Îmân,4,"Müslim, Îmân, 164.",15.08.2025,15.08.2025 KUL HAKKI ATEŞTEN GÖMLEKTİR,metinler,baslik_eslesti,Bizi aldatan bizden değildir.
165,kirpilmis_duzeltildi,1.0,Tirmizî,Sıfatü’l-kıy,Tirmizî,Sıfatü’l-kıyâme,4,"Tirmizî, Sıfatü’l-kıyâme, 1.",25.01.2013,25.01.2013 ALLAH’IN SEVMEDİĞİ DAVRANIŞ: İSRAF,metinler,baslik_eslesti,"İnsanoğlu kıyamet günü beş şeyden hesaba çekilmedikçe yerinden kımıldayamayacaktır; Ömrünü nasıl tükettiğinden, gençliğini nasıl yıprattığından, malını nerede kazanıp nereye harcadığından ve öğrendiği bilgilerle nasıl amel ettiğinden"
166,kirpilmis_duzeltildi,1.0,Tirmizî,Sıfatü’l-kıy,Tirmizî,Sıfatü’l-kıyâme,2,"Tirmizî, Sıfatü’l-kıyâme, 59.",31.01.2014,31.01.2014 NASIL BİR KARDEŞLİK?,metinler,baslik_eslesti,Sizden biriniz kendisi için istediğini mümin kardeşi için de istemedikçe gerçek manada iman etmiş olamaz.
167,kirpilmis_duzeltildi,1.0,Tirmizî,Sıfatü’l-kıy,Tirmizî,Sıfatü’l-kıyâme,2,"Tirmizî, Sıfatü’l-kıyâme, 59.",10.10.2014,10.10.2014 BİZ KARDEŞİZ,metinler,baslik_eslesti,Sizden biriniz kendisi için istediğini mümin kardeşi için de istemedikçe gerçek manada iman etmiş olamaz.
168,kirpilmis_duzeltildi,1.0,Tirmizî,Sıfatü’l-kıy,Tirmizî,Sıfatü’l-kıyâme,2,"Tirmizî, Sıfatü’l-kıyâme, 17.",06.05.2016,06.05.2016 O BÜYÜK GÜNE HAZIR MIYIZ?,metinler,baslik_eslesti,Gaflete dalarak ölümü ve ölüm sonrası hayatı unutan kul ne bedbahttır!
169,kirpilmis_duzeltildi,1.0,Tirmizî,Sıfatü’l-kıy,Tirmizî,Sıfatü’l-kıyâme,3,"Tirmizî, Sıfatü’l-kıyâme, 1.",30.12.2016,30.12.2016 ÖMÜR NİMETİ,metinler,baslik_eslesti,Kıyamet gününde insanoğlu şu beş şeyden hesaba çekilmedikçe Rabbinin huzurundan bir yere kımıldayamaz.
170,kirpilmis_duzeltildi,1.0,Tirmizî,Sıfatü’l-kıy,Tirmizî,Sıfatü’l-kıyâme,1,"Tirmizî, Sıfatü’l-kıyâme, 51; Ebû Dâvûd, Edeb, 35.",15.12.2017,15.12.2017 KARDEŞLİĞE SAPLANAN HANÇER: GIYBET,metinler,baslik_eslesti,"Ey Aişe! Sen öyle bir söz söyledin ki, o söz denize karışsaydı denizin suyunu bile kirletirdi."
171,kirpilmis_duzeltildi,1.0,Tirmizî,Sıfatü’l-kıy,Tirmizî,Sıfatü’l-kıyâme,5,"Tirmizî, Sıfatü’l-kıyâme, 33.",10.08.2018,"10.08.2018 KURBAN, ALLAH’A YAKINLAŞMA VESİLESİDİR",metinler,baslik_eslesti,Ey Âişe! Desene bir kürek kemiği hariç hepsi bizim oldu
172,kirpilmis_duzeltildi,1.0,Tirmizî,Sıfatü’l-kıy,Tirmizî,Sıfatü’l-kıyâme,9,"Tirmizî, Sıfatü’l-kıyâme, 2.",12.10.2018,"12.10.2018 CENÂB-I HAK, HER HAK SAHİBİNE HAKKINI VE",metinler,baslik_eslesti,Âhiret gününde ne altın ne de gümüş para vardır. Bu nedenle haksızlık yapanın iyilik ve sevapları varsa bunlardan alınıp hak sahibine verilir. Şayet sevabı yoksa mağdur ettiği kişinin günahlarını yüklenir.
173,kirpilmis_duzeltildi,1.0,Tirmizî,Sıfatü’l-kıy,Tirmizî,Sıfatü’l-kıyâme,3,"Tirmizî, Sıfatü’l-kıyâme, 42.",04.06.2019,04.06.2019 RAMAZAN BAYRAMI,metinler,baslik_eslesti,"Ey insanlar! Selâmı aranızda yaygınlaştırın, yemek yedirin, akrabalık bağlarınızı gözetin, insanlar uyurken namaz kılın ki selâmetle cennete giresiniz."
174,kirpilmis_duzeltildi,1.0,Tirmizî,Sıfatü’l-kıy,Tirmizî,Sıfatü’l-kıyâme,5,"Tirmizî, Sıfatü’l-kıyâme, 60.",16.08.2019,16.08.2019 GÜVENLİ BİR HAYAT İÇİN AFETLERE HAZIR OL,metinler,baslik_eslesti,"önce devesini bağlar, sonra tevekkül eder."
175,kirpilmis_duzeltildi,1.0,Tirmizî,Sıfatü’l-kıy,Tirmizî,Sıfatü’l-kıyâme,4,"Tirmizî, Sıfatü’l-kıyâme, 33.",08.05.2020,"08.05.2020 RAMAZAN: İNFAK, YARDIMLAŞMA VE PAYLAŞMA ",metinler,baslik_eslesti,"Ey Âişe, desene bir kürek kemiği hariç tamamı bizim oldu."
176,kirpilmis_duzeltildi,1.0,Tirmizî,Sıfatü’l-kıy,Tirmizî,Sıfatü’l-kıyâme,2,"Tirmizî, Sıfatü’l-kıyâme, 17.",09.07.2021,"09.07.2021 İHANETE KARŞI SADAKATE, CESARETE VE ŞEHA",metinler,baslik_eslesti,Dini dünyaya alet eden insan ne kötüdür! Arzu ve isteklerinin kendisini saptırdığı insan ne kötüdür!
177,kirpilmis_duzeltildi,1.0,Tirmizî,Sıfatü’l-kıy,Tirmizî,Sıfatü’l-kıyâme,1,"Tirmizî, Sıfatü’l-kıyâme, 25.",31.12.2021,"31.12.2021 GEÇMİŞİMİZİ MUHASEBE EDELİM, GELECEĞİMİZ",metinler,baslik_eslesti,"Hesaba çekilmeden önce kendinizi hesaba çekin, büyük hesap günü için kendinizi hazırlayın! Çünkü kıyamet gününde hesap, ancak dünyada iken kendisini hesaba çekenler için kolay olacaktır."
178,kirpilmis_duzeltildi,1.0,Tirmizî,Sıfatü’l-kıy,Tirmizî,Sıfatü’l-kıyâme,2,"Tirmizî, Sıfatü’l-kıyâme, 1.",04.03.2022,04.03.2022 BAĞIMLILIK: İNSAN ONURUYLA BAĞDAŞMAYAN H,metinler,baslik_eslesti,"Kıyamet gününde insanoğlu şu beş şeyden hesaba çekilmedikçe Rabbinin huzurundan bir yere kımıldayamaz: Ömrünü nerede ve nasıl geçirdiğinden, gençliğini nerede yıprattığından, malını nereden kazandığından, malını nerede harcadığından, bildiği ile amel edip etmediğinden."
179,kirpilmis_duzeltildi,1.0,Tirmizî,Sıfatü’l-kıy,Tirmizî,Sıfatü’l-kıyâme,3,"Tirmizî, Sıfatü’l-kıyâme, 33.",24.06.2022,24.06.2022 KURBAN: TAKVAYA ULAŞMA ARZUSU,metinler,baslik_eslesti,"Desene, kürek kemiğinin dışında hepsi bize kaldı."
180,kirpilmis_duzeltildi,1.0,Tirmizî,Sıfatü’l-kıy,Tirmizî,Sıfatü’l-kıyâme,5,"Tirmizî, Sıfatü’l-kıyâme, 1.",23.09.2022,23.09.2022 HELAL KAZANÇ VE ALIN TERİ,metinler,baslik_eslesti,"Kıyamet gününde insanoğlu, malını nereden kazandığından ve nereye harcadığından hesaba çekilmedikçe Rabbinin huzurundan hiçbir yere kımıldayamaz."
181,kirpilmis_duzeltildi,1.0,Tirmizî,Sıfatü’l-kıy,Tirmizî,Sıfatü’l-kıyâme,4,"Tirmizî, Sıfatü’l-kıyâme, 59.",28.04.2023,28.04.2023 İŞ AHLAKI: TOPLUMSAL HUZURUN KAYNAĞI,metinler,baslik_eslesti,"Hiçbiriniz, kendisi için istediğini kardeşi için de istemedikçe tam anlamıyla iman etmiş olmaz."
182,kirpilmis_duzeltildi,1.0,Tirmizî,Sıfatü’l-kıy,Tirmizî,Sıfatü’l-kıyâme,2,"Tirmizî, Sıfatü’l-kıyâme, 17.",12.07.2024,12.07.2024 15 TEMMUZ: MİLLETİMİZİN DESTANSI ZAFERİ,metinler,baslik_eslesti,Dini dünyaya alet ederek istismar eden insan ne kötüdür!... Arzu ve isteklerinin kendisini saptırdığı insan ne kötüdür!
183,kirpilmis_duzeltildi,1.0,Tirmizî,Sıfatü’l-kıy,Tirmizî,Sıfatü’l-kıyâme,2,"Tirmizî, Sıfatü’l-kıyâme, 42.",30.03.2025,30.03.2025 RAMAZAN BAYRAMI: SEVİNÇ VE KARDEŞLİK GÜN,metinler,baslik_eslesti,"Ey insanlar! Selâmı aranızda yayın, yemek yedirin, akrabalık bağlarınızı gözetin, insanlar uyurken namaz kılın ki selâmetle cennete giresiniz."
184,kirpilmis_duzeltildi,1.0,Tirmizî,Sıfatü’l-kıy,Tirmizî,Sıfatü’l-kıyâme,5,"Tirmizî, Sıfatü’l-kıyâme, 17.",11.07.2025,11.07.2025 SAHİH DİNİ BİLGİNİN ÖNEMİ,metinler,baslik_eslesti,Dini dünya işlerine alet eden insan ne kötüdür! Arzu ve isteklerinin kendisini saptırdığı insan ne kötüdür!
185,kirpilmis_duzeltildi,1.0,Müslim,Sıy,Müslim,Sıyâm,7,"Müslim, Sıyâm, 31.",20.07.2012,20.07.2012 “BEN ORUÇLUYUM” DİYEBİLMEK,metinler,baslik_eslesti,"Bir kimse Allah yolunda bir gün oruç tutarsa, Allah bu tutulan oruç sebebiyle o kimsenin yüzünü cehennem ateşinden yetmiş sene sürecek mesafelik yere uzaklaştırır."
186,kirpilmis_duzeltildi,1.0,Müslim,Sıy,Müslim,Sıyâm,2,"Müslim, Sıyâm, 163.",05.07.2013,05.07.2013 RAMAZAN VE ORUÇ,metinler,baslik_eslesti,"Biriniz oruç tuttuğu gün kötü söz sarfetmesin, bağırıp çağırmasın, oruç perdedir…"
187,kirpilmis_duzeltildi,1.0,Müslim,Sıy,Müslim,Sıyâm,1,"Müslim, Sıyâm, 203.",08.11.2013,08.11.2013 MUHARREM AYI VE KERBELÂ,metinler,baslik_eslesti,hürmete şayan bir ay
188,kirpilmis_duzeltildi,1.0,Müslim,Sıy,Müslim,Sıyâm,1,"Müslim, Sıyâm, 203.",16.10.2015,16.10.2015 MERHAMET İKSİRİNİ YUDUMLAYABİLMEK,metinler,baslik_eslesti,hürmete layık bir aya
189,kirpilmis_duzeltildi,1.0,Müslim,Sıy,Müslim,Sıyâm,1,"Müslim, Sıyâm, 203.",07.10.2016,07.10.2016 YÜREKLERİMİZİ SAHRÂ-I KERBELÂ’YA DÖNÜŞTÜ,metinler,baslik_eslesti,hürmete şayan bir ay
190,alinti_bulunamadi,0.248,Müslim,Sıy,,,,,09.04.2021,09.04.2021 RAMAZAN: KUTLU MİSAFİR,metinler,baslik_eslesti,"Ramazan ayı geldiğinde cennet kapıları açılır, cehennem kapıları kapanır ve şeytanlar bağlanır."
191,kirpilmis_duzeltildi,1.0,Müslim,Sıy,Müslim,Sıyâm,3,"Müslim, Sıyâm, 183.",17.06.2022,"17.06.2022 HAYDİ KOŞ GEL, CAMİLER SENİNLE GÜZEL",metinler,baslik_eslesti,Çocuğunun senin üzerinde hakkı vardır.
192,kirpilmis_duzeltildi,1.0,Müslim,Sıy,Müslim,Sıyâm,1,"Müslim, Sıyâm, 203.",05.08.2022,05.08.2022 MUHARREM AYI VE KERBELÂ,metinler,baslik_eslesti,hürmete şayan
193,kirpilmis_duzeltildi,1.0,Müslim,Sıy,Müslim,Sıyâm,2,"Müslim, Sıyâm, 183.",16.12.2022,16.12.2022 ÇOCUK: RABBİMİZİN KIYMETLİ EMANETİ,metinler,baslik_eslesti,Çocuğunun senin üzerinde hakkı vardır.
194,kirpilmis_duzeltildi,1.0,Müslim,Sıy,Müslim,Sıyâm,3,"Müslim, Sıyâm, 183.",30.06.2023,30.06.2023 ÇOCUKLARIMIZIN ÜZERİMİZDE HAKKI,metinler,baslik_eslesti,Çocuğunun senin üzerinde hakkı var.
195,kirpilmis_duzeltildi,1.0,Müslim,Sıy,Müslim,Sıyâm,5,"Müslim, Sıyâm, 203.",05.07.2024,05.07.2024 ZARÛRÂT-I HAMSEYİ MUHAFAZA EDELİM,metinler,baslik_eslesti,hürmete layık
196,kirpilmis_duzeltildi,1.0,Müslim,Sıy,Müslim,Sıyâm,6,"Müslim, Sıyâm, 183.",04.04.2025,04.04.2025 GÜÇLÜ BİR TOPLUMUN İNŞASINDA ANNE BABANI,metinler,baslik_eslesti,Çocuğunun da senin üzerinde hakkı vardır.
197,kirpilmis_duzeltildi,1.0,Müslim,Sıy,Müslim,Sıyâm,3,"Müslim, Sıyâm, 183.",20.06.2025,"20.06.2025 HER YAZ YENİ BİR HEYECAN: CAMİ, ÇOCUK VE",metinler,baslik_eslesti,Çocuğunun senin üzerinde hakkı vardır.
198,kirpilmis_duzeltildi,1.0,Müslim,Sıy,Müslim,Sıyâm,1,"Müslim, Sıyâm, 203.",04.07.2025,04.07.2025 GEÇMİŞE İBRETLE GELECEĞE FERASETLE BAKAL,metinler,baslik_eslesti,hürmete layık
199,kirpilmis_duzeltildi,1.0,Tirmizî,Men,Tirmizî,Menâkıb,3,"Tirmizi, Menâkıb, 30.",23.10.2015,23.10.2015 KERBELÂ’YI DOĞRU ANLAMAK,metinler,baslik_eslesti,"Benim dünyadaki çiçeğim, reyhanım"
200,kirpilmis_duzeltildi,1.0,Tirmizî,Men,Tirmizî,Menâkıb,2,"Tirmizî, Menâkıb, 74.",08.04.2016,"08.04.2016 HZ. PEYGAMBER, TEVHİD VE VAHDET",metinler,baslik_eslesti,"İnsanlar, Âdem'in çocuklarıdır. Âdem de topraktan yaratılmıştır."
201,kirpilmis_duzeltildi,1.0,Tirmizî,Men,Tirmizî,Menâkıb,2,"Tirmizi, Menâkıb, 30.",07.10.2016,07.10.2016 YÜREKLERİMİZİ SAHRÂ-I KERBELÂ’YA DÖNÜŞTÜ,metinler,baslik_eslesti,"Benim dünyadaki çiçeğim, reyhanım"
202,kirpilmis_duzeltildi,1.0,Tirmizî,Men,Tirmizî,Menâkıb,1,"Tirmizî, Menâkıb, 63.",26.10.2018,26.10.2018 AİLEDE ŞEFKAT VE NEZAKET DİLİ,metinler,baslik_eslesti,"Sizin en hayırlınız, ailesine karşı en hayırlı olanınızdır. Ben de aileme karşı en hayırlı olanınızım"
203,kirpilmis_duzeltildi,1.0,Tirmizî,Men,Tirmizî,Menâkıb,2,"Tirmizî, Menâkıb, 63.",07.06.2019,"07.06.2019 AİLE OLMAK, AİLE KALMAK",metinler,baslik_eslesti,"Sizin en hayırlınız ailesine en güzel şekilde davranandır. Ben, aranızda ailesine en güzel davranan kişiyim."
204,kirpilmis_duzeltildi,1.0,Tirmizî,Men,Tirmizî,Menâkıb,3,"Tirmizî, Menâkıb, 63.",15.11.2019,15.11.2019 PEYGAMBERİMİZ VE AİLE,metinler,baslik_eslesti,"Sizin en hayırlınız, ailesine karşı en hayırlı olanınızdır. Ben de aileme karşı en iyi olanınızım!"
205,kirpilmis_duzeltildi,1.0,Tirmizî,Men,Tirmizî,Menâkıb,3,"Tirmizî, Menâkıb, 63.",11.06.2021,11.06.2021 AİLEMDE MERHAMET VE HUZUR VAR,metinler,baslik_eslesti,"Sizin en hayırlınız, ailesine karşı en hayırlı olandır. İçinizde ailesine karşı en hayırlı olan da benim."
206,kirpilmis_duzeltildi,1.0,Tirmizî,Men,Tirmizî,Menâkıb,5,"Tirmizî, Menâkıb, 30.",13.08.2021,13.08.2021 KERBELÂ’YI İBRET NAZARIYLA OKUYALIM,metinler,baslik_eslesti,Cennet gençlerinin efendisi
207,kirpilmis_duzeltildi,1.0,Tirmizî,Men,Tirmizî,Menâkıb,4,"Tirmizî, Menâkıb, 63.",18.02.2022,18.02.2022 PEYGAMBERİMİZİN AHLAKI KUR’AN’DI,metinler,baslik_eslesti,"Sizin en hayırlınız, ailesine en güzel davranandır. İçinizden ailesine karşı en güzel davranan da benim."
208,kirpilmis_duzeltildi,1.0,Tirmizî,Men,Tirmizî,Menâkıb,3,"Tirmizî, Menâkıb, 63.",25.03.2022,11.06.2021 AİLEMDE MERHAMET VE HUZUR VAR,metinler,baslik_eslesti+tarih_duzeltildi,"Sizin en hayırlınız, ailesine karşı en hayırlı olandır. İçinizde ailesine karşı en hayırlı olan da benim."
209,kirpilmis_duzeltildi,1.0,Tirmizî,Men,Tirmizî,Menâkıb,2,"Tirmizî, Menâkıb, 63.",12.05.2023,"12.05.2023 KADIN VE ERKEK: HÜRMETE LAYIK, SAYGIN VA",metinler,baslik_eslesti,Sizin en hayırlınız ailesine en güzel şekilde davranandır…
210,kirpilmis_duzeltildi,1.0,Tirmizî,Men,Tirmizî,Menâkıb,2,"Tirmizî, Menâkıb, 30.",28.07.2023,28.07.2023 MUHARREM AYININ ÖNEMİ VE EHL-İ BEYT-İ MU,metinler,baslik_eslesti,Hasan ve Hüseyin cennet gençlerinin efendisidir.
211,kirpilmis_duzeltildi,1.0,Tirmizî,Men,Tirmizî,Menâkıb,2,"Tirmizî, Menâkıb, 63.",17.05.2024,17.05.2024 AİLEMİZ: HUZUR VE GÜVEN KAYNAĞIMIZ,metinler,baslik_eslesti,"Sizin en hayırlınız, ailesine karşı en hayırlı davranandır. Ben de sizin ailesine karşı en hayırlı olanınızım."
212,kirpilmis_duzeltildi,1.0,Tirmizî,Men,Tirmizî,Menâkıb,5,"Tirmizî, Menâkıb, 63.",16.05.2025,"16.05.2025 AİLE: GÜVEN, SADAKAT VE MERHAMET YUVASI",metinler,baslik_eslesti,"Sizin en hayırlınız, ailesine karşı en hayırlı olanınızdır…"
213,dogru,1.0,Tirmizî,Zühd,Tirmizî,Zühd,1,"Tirmizî, Zühd, 60.",22.01.2016,22.01.2016 SÖZ AHLAKI,metinler,baslik_eslesti,Diline sahip ol! Fitneye bulaşma! Günahların için pişmanlıkla gözyaşı dök!
214,dogru,1.0,Tirmizî,Zühd,Tirmizî,Zühd,2,"Tirmizî, Zühd, 63.",26.05.2017,26.05.2017 ÜZERİMİZDE HER CANIN HAKKI VARDIR,metinler,baslik_eslesti,Üzerinde nefsinin hakkı vardır. Rabbinin hakkı vardır. Misafirinin hakkı vardır. Ailenin hakkı vardır. Her hak sahibine hakkını ver!
215,dogru,1.0,Tirmizî,Zühd,Tirmizî,Zühd,2,"Tirmizî, Zühd, 11.",01.09.2017,01.09.2017 İMAN VE İSLAM’IN TEZAHÜRÜ: FAYDASIZ ŞEYL,metinler,baslik_eslesti,"Kendisini ilgilendirmeyen söz, tutum ve davranışlardan uzak durması, kişinin iyi bir Müslüman olduğunun göstergesidir."
216,dogru,1.0,Tirmizî,Zühd,Tirmizî,Zühd,2,"Tirmizî, Zühd, 34.",09.11.2018,09.11.2018 SAĞLIK: DÜNYALARA DEĞER NİMET,metinler,baslik_eslesti,"Sizden kim huzuru yerinde, bedeni sağlıklı ve günlük yiyeceği de yanında olarak güne başlarsa, sanki dünyalar ona bağışlanmış gibidir."
217,dogru,1.0,Tirmizî,Zühd,Tirmizî,Zühd,2,"Tirmizî, Zühd, 21.",22.02.2019,"22.02.2019 YAŞLILARA HÜRMET, ÖMRÜMÜZE BEREKET",metinler,baslik_eslesti,"Ömrü uzun, ameli güzel olandır"
218,dogru,1.0,Tirmizî,Zühd,Tirmizî,Zühd,2,"Tirmizî, Zühd, 11; Muvatta’, Hüsnü’l-hulk,1.",27.11.2020,27.11.2020 FAYDASIZ İŞLERİ TERK ETMEK KULLUĞUN GÜZE,metinler,baslik_eslesti,"Faydasız işleri terk etmesi, bir kişinin iyi Müslüman olmasındandır."
219,dogru,1.0,Tirmizî,Zühd,Tirmizî,Zühd,1,"Tirmizî, Zühd, 50.",08.10.2021,08.10.2021 SONSUZ HAYAT AHİRET,metinler,baslik_eslesti,"Kişi sevdiğiyle beraberdir, sen de sevdiğinle beraber olacaksın."
220,dogru,1.0,Tirmizî,Zühd,Tirmizî,Zühd,3,"Tirmizî, Zühd, 44.",08.10.2021,08.10.2021 SONSUZ HAYAT AHİRET,metinler,baslik_eslesti,"Ben, dünyada bir ağacın altında gölgelendikten sonra yola koyulup orayı terk eden bir yolcu gibiyim."
221,dogru,1.0,Tirmizî,Zühd,Tirmizî,Zühd,2,"Tirmizî, Zühd, 11; İbn Mâce, Fiten, 12.",26.11.2021,26.11.2021 MÜMİN FAYDASIZ SÖZLERDEN VE LÜZUMSUZ İŞL,metinler,baslik_eslesti,"Faydasız işleri terk etmesi, bir kişinin iyi Müslüman olduğunu gösterir."
