satir,durum,skor,eski_kaynak,eski_bolum,yeni_kaynak,yeni_bolum,dipnot_no,dipnot_ref,csv_tarih,hutbe,metin_kaynagi,esleme,alinti
20,dogru,1.0,Tirmizî,Birr,Tirmizî,Birr,6,"Tirmizî, Birr, 75.",22.02.2019,"22.02.2019 YAŞLILARA HÜRMET, ÖMRÜMÜZE BEREKET",metinler,baslik_eslesti,"Bir genç, ihtiyar bir kimseye yaşından dolayı hürmet ederse, Allah da ona yaşlılığında kendisine hürmet edecek birisini hazırlar."
21,dogru,1.0,Tirmizî,Birr,Tirmizî,Birr,3,"Tirmizî, Birr, 28.",05.04.2019,05.04.2019 MÜSLÜMAN HAYIRLI BİR KOMŞUDUR,metinler,baslik_eslesti,"Cebrâil, bana komşu hakkından o kadar çok bahsetti ki, neredeyse komşuyu komşuya mirasçı yapacak zannettim"
22,dogru,1.0,Tirmizî,Birr,Tirmizî,Birr,2,"Tirmizî, Birr, 33; İbn Hanbel, IV, 77.",14.06.2019,"14.06.2019 CAMİLER ÇOCUK DOLSUN, AHLAKI KUR’AN OLSU",metinler,baslik_eslesti,"Hiçbir baba, çocuğuna güzel ahlaktan daha kıymetli bir miras bırakmamıştır."
23,dogru,1.0,Tirmizî,Birr,Tirmizî,Birr,4,"Tirmizî, Birr, 15.",15.11.2019,15.11.2019 PEYGAMBERİMİZ VE AİLE,metinler,baslik_eslesti,"Büyüklerimize saygı, küçüklerimize sevgi ve şefkat göstermeyen bizden değildir."
24,dogru,1.0,Tirmizî,Birr,Tirmizî,Birr,1,"Tirmizî, Birr, 33.",24.01.2020,24.01.2020 SORUMLULUK SAHİBİ BİR BABA OLABİLMEK,metinler,baslik_eslesti,Bir baba çocuğuna güzel ahlâktan daha değerli bir miras bırakmış olamaz.
25,dogru,1.0,Tirmizî,Birr,Tirmizî,Birr,1,"Tirmizî, Birr, 33; İbn Hanbel, IV, 77.",26.06.2020,26.06.2020 YUVALARIMIZ KUR’AN İLE AYDINLANSIN,metinler,baslik_eslesti,"Hiçbir baba, çocuğuna güzel ahlaktan daha kıymetli bir miras bırakmamıştır."
26,dogru,1.0,Tirmizî,Birr,Tirmizî,Birr,2,"Tirmizî, Birr, 33; İbn Hanbel, IV, 77.",30.10.2020,30.10.2020 PEYGAMBERİMİZ VE ÇOCUK,metinler,baslik_eslesti,"Hiçbir baba, çocuğuna güzel terbiyeden daha kıymetli bir miras bırakmamıştır."
27,dogru,1.0,Tirmizî,Birr,Tirmizî,Birr,3,"Tirmizî, Birr, 3.",19.03.2021,"19.03.2021 ANNE-BABA RIZASI, RABBİMİZİN RIZASINA VE",metinler,baslik_eslesti,"Rabbin hoşnutluğu, anne-babanın hoşnutluğundadır. Rabbin öfkesi de anne-babanın öfkesindedir."
28,dogru,1.0,Tirmizî,Birr,Tirmizî,Birr,4,"Tirmizî, Birr, 33.",25.06.2021,25.06.2021 KUR’AN’IN MANEVÎ İKLİMİYLE BULUŞALIM,metinler,baslik_eslesti,Hiçbir anne baba çocuğuna güzel terbiyeden daha kıymetli bir bağışta bulunmamıştır.
29,dogru,1.0,Tirmizî,Birr,Tirmizî,Birr,2,"Tirmizi, Birr, 64.",23.07.2021,23.07.2021 MÜSLÜMAN’IN MÜSLÜMAN ÜZERİNDEKİ HAKLARI,metinler,baslik_eslesti,"Ne iyi ettin! Attığın adımlar hayırlı olsun, cennette bir yerin yuvan olsun."
