indeks,eylem,eski,yeni,dipnot_ref
115,duzeltildi,"Tirmizî,Kıraat","Tirmizî,Zühd","Tirmizî, Zühd, 11."
116,elle_duzeltildi,"Tirmizî,Kıraat","İbn Mâce,İkâmetü’s-Salavât","Berat gecesi hadisi. Alıntı 29.05.2015 'TEVBEMİZ BERATIMIZ OLSUN' hutbesine ait; o hutbenin 2 nolu dipnotu: ""İbn Mâce, İkâmetü’s-Salavât, 191"". Eski değer (Tirmizî, Kıraat) yanlış, tarih de yanlıştı."
117,duzeltildi,"Müslim,İmare","Müslim,İmare","Müslim, İmare, 57"
118,duzeltildi,"Ebû Dâvûd,Edeb","Ebû Dâvûd,Edeb","Ebu Davud, Edeb 111-112"
119,duzeltildi,"Ebû Dâvûd,Zek","Ebû Dâvûd,Zekât","Ebû Dâvûd, Zekât, 38."
120,duzeltildi,"Buhârî,Zek","Buhârî,Zekât","Buhârî, Zekât, 30; Müslim, Zekât, 55."
121,duzeltildi,"Müslim,Birr","Müslim,Birr ve Sıla","Müslim, Birr ve Sıla, 66."
122,duzeltildi,"Tirmizî,Birr","Tirmizî,Birr ve Sıla","Tirmizî, Birr ve Sıla, 14."
123,duzeltildi,"İbn Mâce,Sıy","İbn Mâce,Sıyâm","İbn Mâce, Sıyâm, 2."
124,duzeltildi,"Tirmizî,Birr","Müslim,Sıfâtu’l Münâfikın","Müslim, Sıfâtu’l Münâfikın, 78."
125,tasindi,"Nesâi,İman","Al-i İmran,92",tür karışması
126,duzeltildi,"Buhârî,Tevh","Buhârî,Tevhîd","Buhârî, Tevhîd, 15."
127,duzeltildi,"Buhârî,İm","Buhârî,İmân","Buhârî, İmân, 7."
128,duzeltildi,"Buhârî,Sal","Buhârî,Salât","Buhârî, Salât, 88; Müslim, Birr ve Sıla, 65."
130,duzeltildi,"Tirmizî,Ed","Tirmizî,Edâhî","Tirmizî, Edâhî, 1."
131,duzeltildi,"Buhârî,-","Buhârî,Îdeyn","Buhârî, Îdeyn, 3."
133,duzeltildi,"Tirmizî,Tah","Tirmizî,Tahâret","Tirmizî, Tahâret, 1."
134,duzeltildi,"Müslim,Sıy","Müslim,Sıyâm","Müslim, Sıyâm, 203."
137,duzeltildi,"Tirmizî,Men","Tirmizî,Menâkıb","Tirmizi, Menâkıb, 30."
139,duzeltildi,"Buhârî,Enbiy","Buhârî,Enbiyâ","Buhârî, Enbiyâ, 48."
140,duzeltildi,"Buhârî,Deav","Buhârî,Deavât","Buhârî, Deavât, 66."
141,duzeltildi,"Tirmizî,İm","Tirmizî,İmân","Tirmizî, İmân, 12."
144,duzeltildi,"Buhârî,Eh","Buhârî,Ehâdîsü’l-Enbiyâ","Buhârî, Ehâdîsü’l-Enbiyâ, 54."
146,duzeltildi,"Tirmizî,Sıfatu’l Kıy","Tirmizî,Sıfatu’l Kıyâme","Tirmizî, Sıfatu’l Kıyâme, 35."
147,duzeltildi,"Müslim,Nik","Müslim,Nikâh","Müslim, Nikâh, 1."
148,duzeltildi,"Buhârî,Meg","Buhârî,Megâzî","Buhârî, Megâzî, 49."
149,duzeltildi,"Tirmizî,Birr","Tirmizî,Birr ve Sıla","Tirmizi, Birr ve Sıla, 16."
150,duzeltildi,"Buhârî,Rik","Buhârî,Rikâk","Buhârî, Rikâk, 4."
151,duzeltildi,"Ebû Dâvûd,Fiten","Ebû Dâvûd,Fiten ve Melâhim","Ebû Dâvûd, Fiten ve Melâhim, 2."
156,duzeltildi,"Buhârî,Enbiy","Buhârî,Enbiyâ","Buhari, Enbiyâ, 48."
157,duzeltildi,"Tirmizî,Men","Tirmizî,Menâkıb","Tirmizî, Menâkıb, 74."
158,duzeltildi,"Tirmizî,Sıfatü’l-kıy","Tirmizî,Sıfatü’l-kıyâme","Tirmizî, Sıfatü’l-kıyâme, 17."
159,duzeltildi,"İbn Mâce,Nik","İbn Mâce,Nikâh","İbn Mâce, Nikâh, 50."
160,duzeltildi,"Müslim,Mes","Müslim,Mesâcid","Müslim, Mesâcid, 283."
162,duzeltildi,"Tirmizî,Birr","Tirmizî,Birr","Tirmizî, Birr, 15."
163,duzeltildi,"Buhârî,Meg","Buhârî,Megâzî","Buhârî, Megâzî, 61."
164,duzeltildi,"Buhârî,Zek","Buhârî,Zekât","Buhârî, Zekât, 10."
166,duzeltildi,"Buhârî,-","Buhârî,Îmân","Buhârî, Îmân, 29."
167,duzeltildi,"Buhârî,Lib","Buhârî,Libâs","Buhârî, Libâs, 43."
170,duzeltildi,"Buhârî,Tefs","Buhârî,Tefsîr","Buhârî, Tefsîr, Şu’arâ, 2; Müslim, Îmân, 355."
171,duzeltildi,"Tirmizî,Ed","Tirmizî,Edâhî","Tirmizî, Edâhî, 1."
173,duzeltildi,"Buhârî,Sal","Buhârî,Salât","Buhârî, Salât, 56."
174,duzeltildi,"Müslim,Sıy","Müslim,Sıyâm","Müslim, Sıyâm, 203."
175,duzeltildi,"Tirmizî,Men","Tirmizî,Menâkıb","Tirmizi, Menâkıb, 30."
177,duzeltildi,"İbn Mâce,Mukaddime","Ahmed b. Hanbel,","İbn Hanbel, II, 381; Muvatta, Hüsnü’l Hulk, 1."
178,duzeltildi,"İbn Mâce,Mukaddime","İbn Mâce,Mukaddime","İbn Mâce, Mukaddime, 43."
181,duzeltildi,"Tirmizî,Diy","Tirmizî,Diyât","Tirmizî, Diyât, 7."
182,duzeltildi,"Tirmizî,Sıfatü’l-kıy","Tirmizî,Sıfatü’l-kıyâme","Tirmizî, Sıfatü’l-kıyâme, 1."
184,duzeltildi,"Tirmizî,Rad","Tirmizî,Radâ’","Tirmizî, Radâ’, 11."
185,duzeltildi,"Tirmizî,Deav","Tirmizî,Deavât","Tirmizî, Deavât, 1."
186,duzeltildi,"İbn Mâce,Men","İbn Mâce,Menâsik","İbn Mâce, Menâsik, 5."
188,duzeltildi,"Buhârî,Tefs","Buhârî,Tefsîr","Buhârî, Tefsîr, Şu’arâ, 2; Müslim, Îmân, 355."
189,duzeltildi,"Ahmed b. Hanbel,XI","Ahmed b. Hanbel,","Ahmed b. Hanbel, XI, 658."
191,duzeltildi,"Tirmizî,Sıfatü’l-Kıy","Tirmizî,Sıfatü’l-Kıyâme","Tirmizî, Sıfatü’l-Kıyâme, 42."
