dosya,satir,eylem,eski,yeni,gerekce
hadis,189,kirpilmis_duzeltildi,"Müslim,Sıy","Müslim,Sıyâm","Müslim, Sıyâm, 203."
hadis,190,elle_duzeltildi,"Müslim,Sıy","Müslim,Sıyâm","Bölüm adı kırpılmış (Sıy -> Sıyâm). Alıntı atandığı hutbede bulunamadı; kaynak doğru, yalnızca yazım tamamlandı."
hadis,191,kirpilmis_duzeltildi,"Müslim,Sıy","Müslim,Sıyâm","Müslim, Sıyâm, 183."
hadis,192,kirpilmis_duzeltildi,"Müslim,Sıy","Müslim,Sıyâm","Müslim, Sıyâm, 203."
hadis,193,kirpilmis_duzeltildi,"Müslim,Sıy","Müslim,Sıyâm","Müslim, Sıyâm, 183."
hadis,194,kirpilmis_duzeltildi,"Müslim,Sıy","Müslim,Sıyâm","Müslim, Sıyâm, 183."
hadis,195,kirpilmis_duzeltildi,"Müslim,Sıy","Müslim,Sıyâm","Müslim, Sıyâm, 203."
hadis,196,kirpilmis_duzeltildi,"Müslim,Sıy","Müslim,Sıyâm","Müslim, Sıyâm, 183."
hadis,197,kirpilmis_duzeltildi,"Müslim,Sıy","Müslim,Sıyâm","Müslim, Sıyâm, 183."
hadis,198,kirpilmis_duzeltildi,"Müslim,Sıy","Müslim,Sıyâm","Müslim, Sıyâm, 203."
hadis,199,kirpilmis_duzeltildi,"Tirmizî,Men","Tirmizî,Menâkıb","Tirmizi, Menâkıb, 30."
hadis,200,kirpilmis_duzeltildi,"Tirmizî,Men","Tirmizî,Menâkıb","Tirmizî, Menâkıb, 74."
hadis,201,kirpilmis_duzeltildi,"Tirmizî,Men","Tirmizî,Menâkıb","Tirmizi, Menâkıb, 30."
hadis,202,kirpilmis_duzeltildi,"Tirmizî,Men","Tirmizî,Menâkıb","Tirmizî, Menâkıb, 63."
hadis,203,kirpilmis_duzeltildi,"Tirmizî,Men","Tirmizî,Menâkıb","Tirmizî, Menâkıb, 63."
hadis,204,kirpilmis_duzeltildi,"Tirmizî,Men","Tirmizî,Menâkıb","Tirmizî, Menâkıb, 63."
hadis,205,kirpilmis_duzeltildi,"Tirmizî,Men","Tirmizî,Menâkıb","Tirmizî, Menâkıb, 63."
hadis,206,kirpilmis_duzeltildi,"Tirmizî,Men","Tirmizî,Menâkıb","Tirmizî, Menâkıb, 30."
hadis,207,kirpilmis_duzeltildi,"Tirmizî,Men","Tirmizî,Menâkıb","Tirmizî, Menâkıb, 63."
hadis,208,kirpilmis_duzeltildi+tarih_duzeltildi,"Tirmizî,Men","Tirmizî,Menâkıb","Tirmizî, Menâkıb, 63."
hadis,209,kirpilmis_duzeltildi,"Tirmizî,Men","Tirmizî,Menâkıb","Tirmizî, Menâkıb, 63."
hadis,210,kirpilmis_duzeltildi,"Tirmizî,Men","Tirmizî,Menâkıb","Tirmizî, Menâkıb, 30."
hadis,211,kirpilmis_duzeltildi,"Tirmizî,Men","Tirmizî,Menâkıb","Tirmizî, Menâkıb, 63."
hadis,212,kirpilmis_duzeltildi,"Tirmizî,Men","Tirmizî,Menâkıb","Tirmizî, Menâkıb, 63."
hadis,226,kirpilmis_duzeltildi,"Buhârî,Rik","Buhârî,Rikâk","Buhârî, Rikâk, 1."
hadis,227,kirpilmis_duzeltildi,"Buhârî,Rik","Buhârî,Rikâk","Buhârî, Rikâk, 3."
hadis,228,kirpilmis_duzeltildi,"Buhârî,Rik","Buhârî,Rikâk","Buhârî, Rikâk, 1."
hadis,229,kirpilmis_duzeltildi,"Buhârî,Rik","Buhârî,Rikâk","Buhârî, Rikâk, 4."
hadis,230,kirpilmis_duzeltildi,"Buhârî,Rik","Buhârî,Rikâk","Buhârî, Rikâk, 1."
hadis,231,kirpilmis_duzeltildi,"Buhârî,Rik","Buhârî,Rikâk","Buhârî, Rikâk, 38."
hadis,232,kirpilmis_duzeltildi,"Buhârî,Rik","Buhârî,Rikâk","Buhârî, Rikâk, 3."
hadis,233,kirpilmis_duzeltildi,"Buhârî,Rik","Buhârî,Rikâk","Buhârî, Rikâk, 1."
hadis,234,kirpilmis_duzeltildi,"Buhârî,Rik","Buhârî,Rikâk","Buhârî, Rikâk, 3."
hadis,235,kirpilmis_duzeltildi,"Buhârî,Rik","Buhârî,Rikâk","Buhârî, Rikâk, 1."
hadis,236,kirpilmis_duzeltildi,"Buhârî,Rik","Buhârî,Rikâk","Buhârî, Rikâk, 1."
hadis,237,kirpilmis_duzeltildi,"Buhârî,Rik","Buhârî,Rikâk","Buhârî, Rikâk, 1."
hadis,238,kirpilmis_duzeltildi,"Tirmizî,Ed","Tirmizî,Edâhî","Tirmizî, Edâhî, 1."
hadis,239,kirpilmis_duzeltildi+tarih_duzeltildi,"Tirmizî,Ed","Tirmizî,Edâhî","Tirmizî, Edâhî, 1."
hadis,240,kirpilmis_duzeltildi,"Tirmizî,Ed","Tirmizî,Edâhî","Tirmizî, Edâhî, 1."
hadis,241,kirpilmis_duzeltildi,"Tirmizî,Ed","Tirmizî,Edâhî","Tirmizî, Edâhî, 1."
hadis,242,kirpilmis_duzeltildi,"Tirmizî,Ed","Tirmizî,Edâhî","Tirmizî, Edâhî 1."
hadis,243,kirpilmis_duzeltildi,"Tirmizî,Ed","Tirmizî,Edâhî","Tirmizî, Edâhî, 1."
hadis,244,kirpilmis_duzeltildi,"Tirmizî,Ed","Tirmizî,Edâhî","Tirmizî, Edâhî, 1."
hadis,245,kirpilmis_duzeltildi,"Tirmizî,Ed","Tirmizî,Edâhî","Tirmizî, Edâhî, 1."
hadis,246,kirpilmis_duzeltildi,"Tirmizî,Ed","Tirmizî,Edâhî","Tirmizî, Edâhî, 1."
hadis,247,kirpilmis_duzeltildi,"Tirmizî,Ed","Tirmizî,Edâhî","Tirmizî, Edâhî, 1."
hadis,251,tasindi,"Tirmizî,İlim","Hicr,99",tür karışması: diğer dosyaya taşındı
hadis,252,tarih_duzeltildi,"Tirmizî,İlim","Tirmizî,İlim","Tirmizî, İlim, 2."
hadis,258,kirpilmis_duzeltildi,"Müslim,Zühd","Müslim,Zühd ve rekâik","Müslim, Zühd ve rekâik, 64."
hadis,259,kirpilmis_duzeltildi,"Müslim,Zühd","Müslim,Zühd ve rekâik","Müslim, Zühd ve rekâik, 64."
hadis,265,tarih_duzeltildi,"Müslim,Zühd","Müslim,Zühd","Müslim, Zühd, 44."
hadis,267,kirpilmis_duzeltildi,"Tirmizî,Deav","Tirmizî,Deavât","Tirmizî, Deavât, 89."
hadis,268,HATALI,"Tirmizî,Deav","Müslim,İman","Müslim, İman, 57."
hadis,269,HATALI+tarih_duzeltildi,"Tirmizî,Deav","Buhârî,Umre","Buharî, Umre 1."
hadis,270,kirpilmis_duzeltildi,"Tirmizî,Deav","Tirmizî,Deavât","Tirmizî, Deavât, 1."
hadis,271,kirpilmis_duzeltildi,"Tirmizî,Deav","Tirmizî,Deavât","Tirmizî, Deavât, 86."
hadis,272,kirpilmis_duzeltildi,"Tirmizî,Deav","Tirmizî,Deavât","Tirmizî, Deavât, 15."
hadis,273,kirpilmis_duzeltildi,"Tirmizî,Deav","Tirmizî,Deavât","Tirmizî, Deavât, 86."
hadis,274,kirpilmis_duzeltildi,"Tirmizî,Deav","Tirmizî,Deavât","Tirmizî, Deavât, 86."
hadis,275,kirpilmis_duzeltildi,"Tirmizî,Deav","Tirmizî,Deavât","Tirmizî, Deavât, 9."
hadis,276,kirpilmis_duzeltildi,"Tirmizî,Rad","Tirmizî,Radâ’","Tirmizî, Radâ’, 11."
hadis,277,kirpilmis_duzeltildi,"Tirmizî,Rad","Tirmizî,Radâ","Tirmizi, Radâ, 11."
hadis,278,kirpilmis_duzeltildi,"Tirmizî,Rad","Tirmizî,Radâ’","Tirmizî, Radâ’, 11."
hadis,279,tasindi,"Tirmizî,Rad","Mutaffifin,1",tür karışması: diğer dosyaya taşındı
hadis,280,kirpilmis_duzeltildi+tarih_duzeltildi,"Tirmizî,Rad","Tirmizî,Radâ","Tirmizî, Radâ, 11."
hadis,281,kirpilmis_duzeltildi+tarih_duzeltildi,"Tirmizî,Rad","Tirmizî,Radâ","Tirmizî, Radâ, 11."
hadis,282,kirpilmis_duzeltildi,"Tirmizî,Rad","Tirmizî,Radâ","Tirmizî, Radâ, 11."
hadis,283,kirpilmis_duzeltildi,"Tirmizî,Rad","Tirmizî,Radâ","Tirmizî, Radâ, 11."
hadis,284,kirpilmis_duzeltildi,"Tirmizî,Rad","Tirmizî,Radâ","Tirmizî, Radâ, 11."
hadis,285,kirpilmis_duzeltildi,"İbn Mâce,Nik","İbn Mâce,Nikâh","İbn Mâce, Nikâh, 50."
hadis,286,kirpilmis_duzeltildi,"İbn Mâce,Nik","İbn Mâce,Nikâh","İbn Mâce, Nikâh, 46."
hadis,287,kirpilmis_duzeltildi,"İbn Mâce,Nik","İbn Mâce,Nikâh","İbn Mâce, Nikâh, 50."
hadis,288,kirpilmis_duzeltildi,"İbn Mâce,Nik","İbn Mâce,Nikâh","İbn Mâce, Nikâh, 1."
hadis,289,kirpilmis_duzeltildi+tarih_duzeltildi,"İbn Mâce,Nik","İbn Mâce,Nikâh","İbn Mâce, Nikâh, 1."
hadis,290,kirpilmis_duzeltildi,"İbn Mâce,Nik","İbn Mâce,Nikâh","İbn Mâce, Nikâh, 1."
hadis,291,kirpilmis_duzeltildi,"İbn Mâce,Nik","İbn Mâce,Nikâh","İbn Mâce, Nikâh, 1."
hadis,292,kirpilmis_duzeltildi,"İbn Mâce,Nik","İbn Mâce,Nikâh","İbn Mâce, Nikâh, 1."
hadis,293,kirpilmis_duzeltildi,"İbn Mâce,Nik","İbn Mâce,Nikâh","İbn Mâce, Nikâh, 50."
hadis,294,kirpilmis_duzeltildi,"Buhârî,Nik","Buhârî,Nikâh","Buhârî, Nikâh, 81."
hadis,295,kirpilmis_duzeltildi,"Buhârî,Nik","Buhârî,Nikâh","Buhârî, Nikâh, 42."
hadis,296,kirpilmis_duzeltildi,"Buhârî,Nik","Buhârî,Nikâh","Buhârî, Nikâh, 69."
hadis,297,kirpilmis_duzeltildi,"Buhârî,Nik","Buhârî,Nikâh","Buhârî, Nikâh, 3, Müslîm, Nikâh, 1."
hadis,298,kirpilmis_duzeltildi,"Buhârî,Nik","Buhârî,Nikâh","Buhârî, Nikâh, 3, Müslîm, Nikâh, 1."
hadis,299,kirpilmis_duzeltildi,"Buhârî,Nik","Buhârî,Nikâh","Buhârî, Nikâh, 3."
hadis,300,kirpilmis_duzeltildi,"Buhârî,Nik","Buhârî,Nikâh","Buhârî, Nikâh, 3."
hadis,301,kirpilmis_duzeltildi,"Buhârî,Nik","Buhârî,Nikâh","Buhârî, Nikâh, 3; Müslim, Nikâh, 1."
hadis,306,sil,"Müslim,İman",,"Alıntı hadis değil: 17.09.2021 hutbesinde açıkça ""Ahilik Müessesesi'nin şu öğütleri"" diye tanıtılan Ahi nasihatleri (""Eline, diline, beline sahip ol"")."
hadis,317,kirpilmis_duzeltildi,"Buhârî,İm","Buhârî,İmân","Buhârî, İmân, 5."
hadis,318,kirpilmis_duzeltildi,"Buhârî,İm","Buhârî,İmân","Buhârî, İmân, 7."
hadis,319,kirpilmis_duzeltildi,"Buhârî,İm","Buhârî,İmân","Buhârî, İmân, 7."
hadis,320,kirpilmis_duzeltildi,"Buhârî,İm","Buhârî,İmân","Buhari, İmân, 39."
hadis,321,kirpilmis_duzeltildi,"Buhârî,İm","Buhârî,İmân","Buhârî, İmân, 7."
hadis,322,kirpilmis_duzeltildi,"Buhârî,İm","Buhârî,İmân","Buhârî, İmân, 7."
hadis,323,kirpilmis_duzeltildi,"Müslim,Zek","Müslim,Zekât","Müslim, Zekât, 19"
hadis,324,kirpilmis_duzeltildi,"Müslim,Zek","Müslim,Zekât","Müslim, Zekât, 19"
hadis,325,kirpilmis_duzeltildi,"Müslim,Zek","Müslim,Zekât","Müslim, Zekât, 65; Tirmizî,Tefsîru’l-Kur’ân, 2."
hadis,326,kirpilmis_duzeltildi,"Müslim,Zek","Müslim,Zekât","Müslim, Zekât, 36."
hadis,327,kirpilmis_duzeltildi,"Müslim,Zek","Müslim,Zekât","Müslim, Zekât, 124."
hadis,328,kirpilmis_duzeltildi,"Müslim,Zek","Müslim,Zekât","Müslim, Zekât, 36."
hadis,331,tasindi,"İbn Mâce,Sunne","Al-i İmran,147",tür karışması: diğer dosyaya taşındı
hadis,332,tarih_duzeltildi,"İbn Mâce,Sunne","İbn Mâce,Sunne","İbn Mâce, Sunne, 23."
hadis,335,kirpilmis_duzeltildi,"İbn Mâce,İk","İbn Mâce,İkâmet","İbn Mâce, İkâmet, 93."
hadis,336,kirpilmis_duzeltildi,"İbn Mâce,İk","İbn Mâce,İkâme","İbn Mâce, İkâme, 196; Ebû Dâvûd, Salat, 14."
hadis,337,kirpilmis_duzeltildi,"İbn Mâce,İk","İbn Mâce,İkâmet","İbn Mâce, İkâmet, 93."
hadis,338,kirpilmis_duzeltildi,"İbn Mâce,İk","İbn Mâce,İkâmet","İbn Mâce, İkâmet, 93."
