hafta_id,tarih,dini_gun,siyasi_olay,kriz_olayi,olay_notu
2016-1612,16.12.2016,Mevlid Kandili,,Aladağ yurt yangını (+17 gün),
2016-2312,23.12.2016,,,Aladağ yurt yangını (+24 gün),
2016-3012,30.12.2016,,,,
2017-0601,06.01.2017,,,,
2017-1301,13.01.2017,,,,
2017-2001,20.01.2017,,,,
2017-2701,27.01.2017,,,,
2017-0302,03.02.2017,,,,
2017-1002,10.02.2017,,,,
2017-1702,17.02.2017,,,,
2017-2402,24.02.2017,,,,
2017-0303,03.03.2017,,,,
2017-1003,10.03.2017,,,,
2017-1703,17.03.2017,,,,
2017-2403,24.03.2017,Regaib Kandili,,,
2017-3103,31.03.2017,Regaib Kandili,,,
2017-0704,07.04.2017,,Anayasa referandumu öncesi (9 gün),,
2017-1404,14.04.2017,,Anayasa referandumu öncesi (2 gün),,
2017-2104,21.04.2017,Miraç Kandili,Anayasa referandumu sonrası (5 gün),,
2017-2804,28.04.2017,Miraç Kandili,Anayasa referandumu sonrası (12 gün),,
2017-0505,05.05.2017,,,,
2017-1205,12.05.2017,Berat Kandili,,,Berat Kandili tarihi yaklaşık (±1 gün)
2017-1905,19.05.2017,,,,
2017-2605,26.05.2017,Ramazan başlangıcı,,,
2017-0206,02.06.2017,Ramazan başlangıcı,,,
2017-0906,09.06.2017,Ramazan içi,,,
2017-1606,16.06.2017,Kadir Gecesi,,,
2017-2306,23.06.2017,Kadir Gecesi; Ramazan Bayramı,,,
2017-2506,25.06.2017,Kadir Gecesi; Ramazan Bayramı,,,
2017-3006,30.06.2017,Ramazan Bayramı,,,
2017-0707,07.07.2017,,,,
2017-1407,14.07.2017,,,,
2017-2107,21.07.2017,,,,
2017-2807,28.07.2017,,,,
2017-0408,04.08.2017,,,,
2017-1108,11.08.2017,,,,
2017-1808,18.08.2017,,,,
2017-2508,25.08.2017,,,,
2017-0109,01.09.2017,Kurban Bayramı,,,
2017-0809,08.09.2017,,,,
2017-1509,15.09.2017,,,,
2017-2209,22.09.2017,,,,
2017-2909,29.09.2017,,,,
2017-0610,06.10.2017,,,,
2017-1310,13.10.2017,,,,
2017-2010,20.10.2017,,,,
2017-2710,27.10.2017,,,,
2017-0311,03.11.2017,,,,
2017-1011,10.11.2017,,,,
2017-1711,17.11.2017,,,,
2017-2411,24.11.2017,Mevlid Kandili,,,
2017-0112,01.12.2017,Mevlid Kandili,,,
2017-0812,08.12.2017,,,,
2017-1512,15.12.2017,,,,
2017-2212,22.12.2017,,,,
2017-2912,29.12.2017,,,,
2018-0501,05.01.2018,,,,
2018-1201,12.01.2018,,,,
2018-1901,19.01.2018,,,,
2018-2601,26.01.2018,,,,
2018-0202,02.02.2018,,,,
2018-0902,09.02.2018,,,,
2018-1602,16.02.2018,,,,
2018-2302,23.02.2018,,,,
2018-0203,02.03.2018,,,,
2018-0903,09.03.2018,,,,
2018-1603,16.03.2018,Regaib Kandili,,,
2018-2303,23.03.2018,Regaib Kandili,,,
2018-3003,30.03.2018,,,,
2018-0604,06.04.2018,,,,
2018-1304,13.04.2018,Miraç Kandili,,,
2018-2004,20.04.2018,,,,
2018-2704,27.04.2018,Berat Kandili,,,Berat Kandili tarihi yaklaşık (±1 gün)
2018-0405,04.05.2018,Berat Kandili,,,Berat Kandili tarihi yaklaşık (±1 gün)
2018-1105,11.05.2018,Ramazan başlangıcı,,,
2018-1805,18.05.2018,Ramazan başlangıcı,,,
2018-2505,25.05.2018,Ramazan içi,,,
2018-0106,01.06.2018,Ramazan içi,,,
2018-0806,08.06.2018,Kadir Gecesi,,,
2018-1506,15.06.2018,Kadir Gecesi; Ramazan Bayramı,Genel + CB seçimi öncesi (9 gün),,
2018-2206,22.06.2018,,Genel + CB seçimi öncesi (2 gün),,
2018-2906,29.06.2018,,Genel + CB seçimi sonrası (5 gün),,
2018-0607,06.07.2018,,Genel + CB seçimi sonrası (12 gün),,
2018-1307,13.07.2018,,,,
2018-2007,20.07.2018,,,,
2018-2707,27.07.2018,,,,
2018-0308,03.08.2018,,,,
2018-1008,10.08.2018,,,,
2018-1708,17.08.2018,Kurban Bayramı,,,
2018-2108,21.08.2018,Kurban Bayramı,,,
2018-2408,24.08.2018,Kurban Bayramı,,,
2018-3108,31.08.2018,,,,
2018-0709,07.09.2018,,,,
2018-1409,14.09.2018,,,,
2018-2109,21.09.2018,,,,
2018-2809,28.09.2018,,,,
2018-0510,05.10.2018,,,,
2018-1210,12.10.2018,,,,
2018-1910,19.10.2018,,,,
2018-2610,26.10.2018,,,,
2018-0211,02.11.2018,,,,
